Reference,Qty,Value,MPN
"C1,C4,C6,C8,C9,C10,C11,C12,C13,C16,C18,C24,C25,C28,C29,C30,C32,C34,C41,C52",20,0.1uF,GRM155R71A104KA01D
"C2,C5",2,2.2uF,
"C3,C7,C26,C35,C42,C44,C46,C53",8,1uF,"CC0603KRX7R9BB105,CL10B105KP8NNNC"
"C14,C27",2,4.7uF,GRM21BR71C475KE51L
"C15,C19,C39,C43",4,10uF,
"C17,C31",2,1nF,
"C20,C23,C33,C40",4,10nF,GRM155R71E103KA01D
"C21,C22,C36,C37",4,27pF,CL10C270JB8NNNC
C38,1,2nF,
"C45,C47",2,0.1uF,GRM188R71H104KA93D
C48,1,680uF,UCL1E681MNL1GS
C49,1,100uF,UWT1E101MCL1GS
"C50,C51",2,0.47uF,
"D1,D2,D3,D4,D5,D9,D10,D12",8,LED,
D6,1,LTST-E682KRKGWT,LTST-E682KRKGWT
"D7,D13",2,LSM115JE3,LSM115JE3-TR13
D8,1,ESD7104MUTAG,ESD7104MUTAG
D11,1,SMBJ15A,SMBJ15A
"F1,F3",2,Polyfuse,NANOSMDC075F-2
F2,1,Polyfuse,2920L600/24SL
"FB1,FB2",2,FerriteBead,MPZ1608S601ATA00
J1,1,F407 SWD,
J2,1,GPIO,
J3,1,Conn_01x02_Pin,
J4,1,F103 SWD,
J5,1,USB_B_Micro,USB3076-30-A
J6,1,Ethernet,RJMG1S8008101BR
J7,1,12V IN,
J8,1,12V RGB LED,B4PS-VH(LF)(SN)
J9,1,Relay IO,
J10,1,USB FS,USB3076-30-A
Q1,1,PMOS,FDS6679AZ
"Q2,Q3,Q4",3,NMOS,IRLML6344TRPBF
"R1,R2,R4,R7,R25,R28,R32,R34,R36,R37,R39,R40,R42,R54,R55,R56,R57,R58,R59,R60,R61,R62",22,10k,
"R3,R6",2,330,
"R5,R44,R48,R51",4,100R,
R8,1,33k,
R9,1,82k,
"R10,R30,R31,R63",4,1k,
"R11,R12,R13,R14",4,560,
"R15,R16",2,4K7,
"R17,R18,R19,R20,R27,R43,R45,R50,R52,R66",10,100k,
"R21,R22",2,220,
"R23,R24,R64,R65",4,22R,
R26,1,1.5k,
R29,1,1M,
R33,1,6.49k,
"R35,R38,R41",3,2.49k,
R46,1,20m,
"R47,R49",2,2.2k,
R53,1,90k,
"SW1,SW2,SW3,SW4,SW5,SW6",6,SW_Push,PTS645SK50SMTR92 LFS
TP1,1,BOOT0,
TP2,1,NRST,
"TP3,TP7",2,GND,5001
TP4,1,3V3,5001
TP5,1,RMII_REF_CLK,
TP6,1,12V,5001
TP8,1,D+,
TP9,1,D-,
TP10,1,5V,5001
U1,1,STM32F407VGTx,STM32F407VGTx
U2,1,MCP1825S-3302E/EB,MCP1825S-3302E/EB
U3,1,STM32F103C8T6,STM32F103C8T6
"U4,U8",2,USBLC6-2SC6,USBLC6-2SC6
U5,1,DP83826IRHBR,DP83826IRHBR
U6,1,TLV9001TIDCKR,TLV9001TIDCKR
U7,1,ULN2803CDWR,ULN2803CDWR
Y1,1,8MHz,ECS-80-18-5PX-TR
Y2,1,25MHz,ECS-250-18-36B2-CTY-TR
